contract_id,department,vendor,approved_budget,contract_value,deviation_flag,mbd_submitted,project_phase,status,risk_score,irregular_flag,irregular_amount
C0001,Water & Sanitation,Reeves PLC,49748910,51712170,Y,Y,Completed,Delayed,3,Y,1963260
C0002,Electricity,Clark-Cruz,48240618,45031818,Y,Y,Planning,Cancelled,2,Y,0
C0003,Water & Sanitation,"Sherman, Freeman and Tyler",41059284,46519226,N,Y,Completed,Cancelled,2,Y,5459942
C0004,Water & Sanitation,"Lee, Roberts and Lee",49618868,51834909,Y,N,Execution,On track,3,Y,2216041
C0005,Water & Sanitation,Harris Inc,39397498,33716282,N,Y,Planning,On track,0,N,0
C0006,Waste Management,"Chavez, Reed and Cox",12748637,21605227,N,Y,Planning,Cancelled,2,Y,8856590
C0007,Electricity,Guzman-Miller,2528388,2195170,Y,Y,Completed,Cancelled,2,Y,0
C0008,Waste Management,Gonzalez PLC,3485357,3212960,Y,Y,Planning,Delayed,2,Y,0
C0009,Waste Management,"Long, Haney and Perry",11492366,11998014,N,Y,Planning,On track,1,Y,505648
C0010,Housing,Paul-Rosales,1970928,2099055,N,Y,Execution,On track,1,Y,128127
C0011,Electricity,Mcconnell Ltd,22435235,26649331,N,Y,Execution,On track,1,Y,4214096
C0012,Water & Sanitation,Clark-Ward,18148957,19798856,N,Y,Planning,Delayed,2,Y,1649899
C0013,Roads & Transport,"Chavez, Reed and Cox",22473627,32817434,N,Y,Execution,On track,1,Y,10343807
C0014,Housing,Frye-Weaver,2730708,3238898,N,Y,Planning,Delayed,2,Y,508190
C0015,Water & Sanitation,Jimenez-Roberts,22957742,18509784,N,Y,Execution,Cancelled,1,N,0
C0016,Waste Management,"Fowler, Nelson and Oliver",23817335,32369518,N,Y,Completed,On track,1,Y,8552183
C0017,Water & Sanitation,Reed-White,49683876,52686312,N,Y,Completed,On track,1,Y,3002436
C0018,Roads & Transport,Harris Inc,12010049,17974895,N,Y,Planning,On track,1,Y,5964846
C0019,Housing,"Long, Haney and Perry",39170421,38735079,Y,Y,Execution,Cancelled,2,Y,0
C0020,Roads & Transport,Berg-Alvarez,46421408,41519027,N,N,Execution,Delayed,2,Y,0
C0021,Electricity,"Cunningham, Fisher and Smith",32474990,26310186,Y,N,Execution,Cancelled,3,Y,0
C0022,Water & Sanitation,"Chavez, Reed and Cox",49107334,50350251,N,N,Completed,On track,2,Y,1242917
C0023,Waste Management,Martin LLC,45916038,50609596,N,N,Planning,On track,2,Y,4693558
C0024,Housing,Clark-Ward,36613466,42185564,N,Y,Execution,Cancelled,2,Y,5572098
C0025,Waste Management,Clark-Cruz,14743995,12895511,N,Y,Completed,Delayed,1,N,0
C0026,Water & Sanitation,Clark-Cruz,45477017,42862958,N,Y,Planning,Delayed,1,N,0
C0027,Housing,"Long, Haney and Perry",30444474,34317190,N,N,Planning,On track,2,Y,3872716
C0028,Waste Management,Guzman-Miller,46259303,45978601,N,Y,Execution,On track,0,N,0
C0029,Housing,Contreras and Sons,41978167,39009520,N,Y,Completed,Delayed,1,N,0
C0030,Electricity,Palmer and Sons,18373392,25780300,N,Y,Planning,On track,1,Y,7406908
C0031,Waste Management,Frye-Weaver,39380002,35990809,Y,Y,Execution,Cancelled,2,Y,0
C0032,Waste Management,Moyer-Robinson,11606305,9438482,N,Y,Completed,Delayed,1,N,0
C0033,Roads & Transport,Clark-Cruz,38026525,37866095,N,Y,Planning,Cancelled,1,N,0
C0034,Housing,Harris Inc,1219043,1823351,N,Y,Planning,On track,1,Y,604308
C0035,Electricity,Lawrence-Coleman,6759908,7120967,N,N,Planning,Cancelled,3,Y,361059
C0036,Housing,"Chavez, Reed and Cox",30927104,31028529,N,Y,Planning,Delayed,2,Y,101425
C0037,Housing,"Chavez, Reed and Cox",24535642,26607917,N,Y,Execution,Cancelled,2,Y,2072275
C0038,Roads & Transport,Jimenez-Roberts,10521958,11325573,N,Y,Planning,Cancelled,2,Y,803615
C0039,Water & Sanitation,"Sherman, Freeman and Tyler",16485802,13936922,N,Y,Completed,Delayed,1,N,0
C0040,Roads & Transport,Miller PLC,34209026,29761235,N,Y,Execution,Delayed,1,N,0
C0041,Electricity,Vargas Inc,46610960,39024611,N,Y,Planning,Cancelled,1,N,0
C0042,Roads & Transport,Sanchez-Jenkins,34895514,31808954,N,Y,Planning,Cancelled,1,N,0
C0043,Water & Sanitation,Lawrence-Coleman,6141495,7211675,N,Y,Execution,Cancelled,2,Y,1070180
C0044,Waste Management,"Chavez, Reed and Cox",11102109,14223769,N,N,Planning,On track,2,Y,3121660
C0045,Roads & Transport,Mcconnell Ltd,19676703,19563473,N,Y,Planning,Cancelled,1,N,0
C0046,Waste Management,"Mathis, Bailey and Lyons",17495683,15656880,N,Y,Completed,Delayed,1,N,0
C0047,Housing,Reeves PLC,38788639,42216622,N,Y,Planning,Delayed,2,Y,3427983
C0048,Roads & Transport,Holt and Sons,37956186,34391376,N,Y,Planning,On track,0,N,0
C0049,Waste Management,Harris Inc,10720268,12461663,N,Y,Planning,Cancelled,2,Y,1741395
C0050,Housing,Henderson-Miller,19334400,19276533,Y,Y,Completed,On track,1,Y,0
C0051,Electricity,"Cunningham, Fisher and Smith",40920227,70234570,Y,Y,Execution,Cancelled,3,Y,29314343
C0052,Electricity,Palmer and Sons,3551356,4096125,N,Y,Completed,Cancelled,2,Y,544769
C0053,Housing,"Finley, Burch and Reed",11375612,13499005,N,Y,Completed,Cancelled,2,Y,2123393
C0054,Electricity,Guzman-Miller,37990300,43326214,N,Y,Execution,Delayed,2,Y,5335914
C0055,Roads & Transport,Gutierrez-Sanchez,42732984,48616685,N,N,Completed,Delayed,3,Y,5883701
C0056,Water & Sanitation,Holt and Sons,24983825,29881192,Y,Y,Planning,On track,2,Y,4897367
C0057,Roads & Transport,Reeves PLC,10292257,11727696,Y,Y,Completed,Cancelled,3,Y,1435439
C0058,Electricity,"Lee, Roberts and Lee",25633478,28805478,N,Y,Planning,On track,1,Y,3172000
C0059,Water & Sanitation,Guzman-Miller,30124204,36273996,N,Y,Completed,On track,1,Y,6149792
C0060,Electricity,Henderson-Miller,36353447,40654680,N,Y,Planning,Delayed,2,Y,4301233
C0061,Water & Sanitation,Sanchez-Jenkins,2603771,2539691,N,Y,Planning,Delayed,1,N,0
C0062,Housing,"Finley, Burch and Reed",49039582,55688044,N,Y,Completed,On track,1,Y,6648462
C0063,Waste Management,Leonard-Reynolds,32676169,30848795,Y,Y,Execution,On track,1,Y,0
C0064,Housing,Gonzalez PLC,18862804,22373185,N,Y,Planning,On track,1,Y,3510381
C0065,Water & Sanitation,"Cunningham, Fisher and Smith",29649535,30131459,N,Y,Execution,Delayed,2,Y,481924
C0066,Housing,Gonzalez PLC,30603180,33230097,Y,Y,Execution,Cancelled,3,Y,2626917
C0067,Water & Sanitation,"Sherman, Freeman and Tyler",6419707,5779946,Y,N,Completed,Cancelled,3,Y,0
